"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.891895625E0,3.041076050E0,-2.784509583E0,-5.770500183E-1
1.911996625E0,4.912783813E0,-4.101171570E0,-1.029858398E-1
1.932097625E0,7.172784119E0,-6.041137390E0,8.033793640E-1
1.952198625E0,9.139843597E0,-7.587421875E0,3.079695740E0
1.972300625E0,9.754166107E0,-7.321724396E0,3.401676178E0
1.992401625E0,1.089045319E1,-6.261479187E0,-9.370513916E-2
2.012502625E0,1.039707916E1,-9.119336243E0,-1.792223053E0
2.032603625E0,1.035142410E1,-1.103071152E1,-1.374591522E0
2.052704625E0,1.106603806E1,-1.070843170E1,-1.643582153E-1
2.072806625E0,1.137095398E1,-8.923094330E0,7.355703735E-1
2.092907625E0,1.162497574E1,-6.592890015E0,1.356179810E-1
2.113008625E0,1.624901001E1,-4.883893890E0,3.912863159E-1
2.133109625E0,1.456246719E1,-4.069138184E0,1.486109619E0
2.153210625E0,7.670349426E0,-3.719465332E0,-1.336869965E0
2.173312625E0,2.223326569E0,-2.975961456E0,-1.144220581E0
2.193413625E0,-2.145638123E0,-1.338516541E0,-1.517693939E0
2.213514625E0,-2.404749298E0,-5.361849976E-1,-1.691482544E-1
2.233615625E0,1.619182892E0,-2.812651062E-1,6.397695923E-1
2.253716625E0,2.465522919E0,-2.511776733E0,6.659651184E-1
2.273818625E0,5.029241638E0,-4.552632751E0,-1.609752502E0
2.293919625E0,8.497529297E0,-6.555916901E0,-5.285508728E-1
2.314020625E0,1.036235138E1,-6.046675873E0,1.030457153E0
2.334121625E0,9.504934387E0,-4.932842102E0,1.729204102E0
2.354222625E0,1.212867828E1,-7.519014130E0,1.971400452E0
2.374323625E0,1.281934204E1,-9.525142365E0,1.336720276E0
2.394425625E0,9.769434357E0,-8.508007507E0,-2.549797668E0
2.414526625E0,5.534141693E0,-8.722960510E0,-4.757107544E-1
2.434627625E0,6.244714050E0,-1.102352646E1,6.661148071E-2
2.454728625E0,3.605103149E0,-9.697434082E0,1.174008636E0
2.474829625E0,3.902235260E0,-8.196056213E0,8.090675354E-1
2.494931625E0,4.510270844E0,-6.670578461E0,8.184979248E-1
2.515032625E0,5.051844635E0,-6.328839111E0,5.349874878E-1
2.535133625E0,4.695136414E0,-7.532935181E0,3.680845642E-1
2.555234625E0,3.483406219E0,-8.869954834E0,3.574566650E-1
2.575335625E0,3.318449249E0,-8.700806580E0,5.643264771E-1
2.595437625E0,2.395468597E0,-9.483229523E0,6.421646118E-1
2.615538625E0,1.395547943E0,-9.947264557E0,6.857240295E-1
2.635640208E0,1.335971832E0,-9.252259827E0,3.477268982E-1
2.655741208E0,1.836530914E0,-7.367379456E0,3.047662354E-1
2.675842208E0,1.942660217E0,-5.665418701E0,2.386038208E-1
2.695944208E0,1.284628601E0,-4.683460693E0,4.445755005E-1
2.716045208E0,7.304809570E-2,-7.916737061E0,8.220904541E-1
2.736146208E0,-9.128018188E-1,-1.426204193E1,8.707392883E-1
2.756247208E0,-2.938539276E0,-1.937765396E1,1.615740051E0
2.776348208E0,-5.569168854E0,-1.988449997E1,3.046913910E0
2.796450208E0,-5.533093872E0,-1.288819885E1,1.185983734E0
2.816551208E0,-2.991828461E0,-7.140002289E0,-1.406774597E0
2.836652208E0,-2.335593109E0,-6.738537140E0,-1.594035187E0
2.856753208E0,-2.042801971E0,-9.431287537E0,1.689985657E-1
2.876854208E0,-1.537602539E0,-1.061352905E1,1.521885223E0
2.896955208E0,-1.002914429E0,-1.023616379E1,2.135309601E0
2.917057208E0,-7.794291687E-1,-9.501192169E0,1.589095459E0
2.937158208E0,-9.131011963E-1,-9.417216797E0,9.681866455E-1
2.957259208E0,-1.013542328E0,-9.580078125E0,8.393046570E-1
2.977360208E0,-1.331780548E0,-9.732311554E0,6.318360901E-1
2.997461208E0,-1.688937836E0,-9.769434357E0,3.603007507E-1
3.017563208E0,-1.912722473E0,-9.718540192E0,2.655477905E-1
3.037664208E0,-2.003882904E0,-9.692344666E0,3.504212952E-1
3.057765208E0,-1.851200409E0,-9.653425598E0,4.055067444E-1
3.077866208E0,-1.473086700E0,-9.644144897E0,4.617897034E-1
3.097967208E0,-1.240320740E0,-9.738897858E0,5.415737915E-1
3.118069208E0,-1.137035522E0,-9.770482178E0,5.471122742E-1
3.138170208E0,-1.106349335E0,-9.796977081E0,4.571493530E-1
3.158271208E0,-1.168470154E0,-9.851014709E0,4.309538269E-1
3.178372208E0,-1.169517975E0,-9.904004517E0,3.583547974E-1
3.198473208E0,-1.068029022E0,-9.840087433E0,1.827699280E-1
3.218575208E0,-9.541159058E-1,-9.893975372E0,-3.637435913E-2
3.238676208E0,-9.657916260E-1,-1.001701950E1,-1.154100037E-1
3.258777208E0,-1.061742096E0,-1.002375549E1,-8.277786255E-2
3.278878208E0,-1.211879883E0,-9.923613739E0,6.735992432E-3
3.298979208E0,-1.283730469E0,-9.593101044E0,8.981323242E-3
3.319081208E0,-1.206640778E0,-9.176966400E0,5.313949585E-2
3.339182208E0,-1.154549103E0,-9.245823212E0,2.351609802E-1
3.359283208E0,-1.174158325E0,-9.655521240E0,5.269042969E-1
3.379384208E0,-1.135089569E0,-9.724527740E0,7.298822021E-1
3.399485208E0,-1.111289062E0,-9.612261200E0,5.081932068E-1
3.419586208E0,-1.009800110E0,-9.488768005E0,2.769241333E-2
3.439688208E0,-8.990304565E-1,-9.562714233E0,-3.748205566E-1
3.459789208E0,-8.629554749E-1,-9.625134430E0,-6.697073364E-1
3.479890208E0,-7.226971436E-1,-9.604627075E0,-1.048120422E0
3.499991208E0,-4.357438660E-1,-9.438322906E0,-1.470841370E0
3.520092208E0,-4.430786133E-2,-9.315727844E0,-1.589095459E0
3.540194208E0,3.375480652E-1,-9.212592316E0,-1.397643585E0
3.560295208E0,6.652166748E-1,-9.217232666E0,-1.162332916E0
3.580396208E0,9.190887451E-1,-9.490564270E0,-1.084045715E0
3.600497208E0,1.251248016E0,-9.799521790E0,-8.916957092E-1
3.620597708E0,1.442999268E0,-9.876162415E0,-5.882766724E-1
3.640699708E0,1.274150391E0,-9.830357666E0,-6.328839111E-1
3.660800708E0,9.400451660E-1,-9.643695831E0,-1.100810852E0
3.680901708E0,3.353027344E-2,-9.411977692E0,-1.431622925E0
3.701002708E0,-5.294490051E-1,-9.077423401E0,-1.812580719E0
3.721103708E0,-1.833686829E-1,-8.556506653E0,-2.776576080E0
3.741204708E0,8.270301819E-1,-7.745942230E0,-3.771557007E0
3.761306708E0,1.483714600E0,-7.226522369E0,-3.185375977E0
3.781407708E0,1.033301239E0,-7.236102448E0,-2.148631897E0
