"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.748154833E0,7.843931317E-1,3.068243980E0,7.155815959E-1
1.768256833E0,1.221022129E0,2.307174921E0,-3.342212439E-1
1.788357833E0,1.274889350E0,1.194701433E0,-1.007691383E0
1.808459833E0,-2.226122841E-2,9.525306225E-1,-1.109068751E0
1.828561833E0,-1.151556849E0,5.565203428E-1,-1.439713001E0
1.848663833E0,-6.230522990E-1,-9.298032522E-1,-2.453158617E0
1.868764708E0,2.727286518E-1,-2.589102030E0,-3.826836586E0
1.888866708E0,3.625583947E-1,-3.855074406E0,-4.406446457E0
1.908968708E0,8.414549381E-2,-3.969468594E0,-4.075416565E0
1.929069708E0,5.699783564E-1,-2.954011679E0,-3.449229479E0
1.949171708E0,7.726521492E-1,-1.301522851E0,-2.282621622E0
1.969273708E0,9.253899455E-1,3.172839805E-2,-2.136878490E0
1.989374708E0,9.841441512E-1,6.989587545E-1,-3.029435158E0
2.009476708E0,5.637684464E-1,7.875671983E-1,-2.518784761E0
2.029578708E0,2.635449469E-1,1.076178432E0,-1.026509047E0
2.049679708E0,3.499832749E-1,8.314566612E-1,-6.776592880E-2
2.069781708E0,1.101034805E-1,2.506233454E-1,3.299269080E-1
2.089883708E0,-5.418958068E-1,-4.090060592E-1,8.651594818E-2
2.109984708E0,-1.215667963E0,-4.477345347E-1,-2.845145762E-1
2.130086708E0,-1.905341864E0,1.641327441E-1,4.497160912E-1
2.150188708E0,-2.052066326E0,2.174984813E-1,1.922901869E0
2.170289708E0,-1.750368118E0,5.330358148E-1,3.004678965E0
2.190391708E0,-1.206781030E0,1.192739010E0,3.646024942E0
2.210493708E0,-7.573987246E-1,1.329273820E0,4.016580105E0
2.230595708E0,-5.520035625E-1,8.686634898E-1,4.191744804E0
2.250696708E0,-5.682652593E-1,1.491300315E-1,4.288369179E0
2.270798708E0,-4.523453116E-1,-1.683854312E-1,4.271098137E0
2.290900708E0,-3.195888996E-1,-2.885183096E-1,3.959506512E0
2.311001708E0,-2.587675750E-1,-5.350594521E-1,3.785614491E0
2.331103708E0,-1.407200471E-2,-2.036135048E-1,3.974513769E0
2.351205708E0,8.889870346E-2,3.292111456E-1,3.965707302E0
2.371306708E0,-2.053427696E-1,7.240363359E-1,3.280469418E0
2.391408708E0,-4.800173640E-1,1.181495070E0,2.488349915E0
2.411510708E0,-4.908743501E-1,1.456892252E0,1.985026479E0
2.431611708E0,-6.732574105E-1,1.727515459E0,1.554260373E0
2.451713708E0,-7.177364230E-1,1.966181636E0,1.028026104E0
2.471815708E0,-5.915285945E-1,2.325002432E0,1.000790954E0
2.491916708E0,-9.084093571E-2,2.390661001E0,1.578629613E0
2.512018708E0,3.588001728E-1,2.183648109E0,2.145839930E0
2.532120708E0,4.219466150E-1,7.112981081E-1,2.586430550E0
2.552221708E0,-9.399442077E-1,-2.886630535E0,3.278753519E0
2.572323708E0,-1.326774716E0,-3.220441103E0,3.044633389E0
2.592425708E0,-9.476864338E-1,-5.725480914E-1,2.367038250E0
2.612526708E0,-7.088075280E-1,2.638421774E0,1.153838038E0
2.632628708E0,1.751770824E-1,4.108589649E0,2.548707649E-2
2.652730708E0,8.042883277E-1,4.544989586E0,-3.206077591E-2
2.672831708E0,7.167848349E-1,4.328875542E0,2.707185447E-1
2.692933708E0,5.311489701E-1,3.540344715E0,3.280423582E-1
2.713035708E0,4.979157448E-1,2.685602903E0,2.829839587E-1
2.733136708E0,5.262961388E-1,2.159804583E0,2.111686468E-1
2.753238708E0,5.142202377E-1,2.062425613E0,1.383279711E-1
2.773340708E0,4.642043412E-1,2.164138079E0,1.121643484E-1
2.793441708E0,5.924232006E-1,2.166018963E0,1.900345683E-1
2.813543708E0,7.771206498E-1,1.951285243E0,3.471454978E-1
2.833645708E0,9.012067318E-1,1.611715317E0,2.842332423E-1
2.853747083E0,8.267935514E-1,1.336817980E0,1.235196143E-1
2.873849083E0,4.476064146E-1,1.229251862E0,8.819922805E-3
2.893951083E0,-2.726247907E-1,1.387261152E0,-5.110282451E-2
2.914052083E0,-7.346413136E-1,1.719834566E0,4.988471419E-2
2.934154083E0,-8.112683892E-1,1.882107735E0,1.614067405E-1
2.954256083E0,-1.086291432E0,1.267806292E0,2.132446319E-2
2.974357083E0,-2.323297262E0,5.615055561E-1,9.826000035E-2
2.994459083E0,-1.730121970E0,3.996299028E0,4.621495008E-1
3.014561083E0,-2.212266251E-2,3.798794985E0,4.318615496E-1
3.034662083E0,5.406277776E-1,1.308747530E0,2.102985531E-1
3.054764083E0,1.566453874E-1,3.881579638E-1,7.259087265E-2
3.074866083E0,-3.152633905E-1,6.766802073E-1,3.116407618E-2
3.094968083E0,-5.936138630E-1,1.077526093E0,1.179235429E-2
3.115069083E0,-6.598195434E-1,1.460249424E0,4.824056476E-2
3.135171083E0,-6.194735169E-1,1.825307608E0,9.495000541E-2
3.155273083E0,-4.998902380E-1,1.888810515E0,2.726909146E-2
3.175374083E0,-2.494708747E-1,1.895903349E0,-5.476888269E-2
3.195476083E0,1.719943248E-2,1.651267290E0,-1.635943651E-1
